ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
30	"ENSG00000167548.14"	"KMT2D"	chr12	-	49030279	49030768	49030279	49030439	49030600	49030768	30	2,0	20,40	0,25	12,54	236	75	1.78953557552e-05	3.96170978779e-05	0.031,0.0	0.0,0.128	-0.049
32	"ENSG00000112096.16"	"SOD2"	chr6	-	159679063	159682638	159679063	159679298	159682473	159682638	32	6838,8484	26,17	3770,4565	50,21	3250	75	0.000379785419159	0.000722954755305	0.859,0.92	0.635,0.834	0.155
33	"ENSG00000237441.9"	"RGL2"	chr6	-	33293412	33293699	33293412	33293524	33293603	33293699	33	5,3	23,51	0,6	16,0	154	75	0.230447845436	0.305584101172	0.096,0.028	0.0,1.0	-0.438
34	"ENSG00000237441.9"	"RGL2"	chr6	-	33293794	33294066	33293794	33293916	33294033	33294066	34	18,3	20,42	11,38	12,13	192	75	0.00126370944291	0.00224336501209	0.26,0.027	0.264,0.533	-0.255
35	"ENSG00000178921.13"	"PFAS"	chr17	+	8256266	8256648	8256266	8256407	8256523	8256648	35	3,3	111,85	10,16	51,74	191	75	1.99477237972e-06	4.74719481537e-06	0.011,0.014	0.071,0.078	-0.062
40	"ENSG00000111012.9"	"CYP27B1"	chr12	-	57765010	57765499	57765010	57765211	57765296	57765499	40	0,4	1,0	51,60	6,1	160	75	0.307661992288	0.399701654862	0.0,1.0	0.799,0.966	-0.383
46	"ENSG00000110697.12"	"PITPNM1"	chr11	-	67493687	67494070	67493687	67493837	67493921	67494070	46	5,5	3,7	12,0	0,0	159	75	1	1.0	0.44,0.252	1.0,NA	-0.654
47	"ENSG00000110697.12"	"PITPNM1"	chr11	-	67496177	67497436	67496177	67496345	67497230	67497436	47	5,1	2,10	7,48	7,0	960	75	0.00752023132745	0.0121670822239	0.163,0.008	0.072,1.0	-0.451
48	"ENSG00000110697.12"	"PITPNM1"	chr11	-	67496177	67497436	67496177	67496348	67497230	67497436	48	5,1	18,14	7,48	5,7	957	75	4.82030405591e-08	1.32441363866e-07	0.021,0.006	0.099,0.35	-0.211
49	"ENSG00000223501.8"	"VPS52"	chr6	-	33264373	33264900	33264373	33264497	33264781	33264900	49	31,27	74,63	195,149	42,49	359	75	0	0.0	0.08,0.082	0.492,0.388	-0.359
51	"ENSG00000014914.20"	"MTMR11"	chr1	-	149928651	149929916	149928651	149929317	149929622	149929916	51	2,0	2,0	0,26	0,0	380	75	1	1.0	0.165,NA	NA,1.0	-0.835
52	"ENSG00000014914.20"	"MTMR11"	chr1	-	149930364	149930965	149930364	149930547	149930791	149930965	52	1,0	7,0	12,0	0,0	319	75	1	1.0	0.032,NA	1.0,NA	-0.968
53	"ENSG00000014914.20"	"MTMR11"	chr1	-	149933609	149933942	149933609	149933698	149933854	149933942	53	0,0	0,2	1,0	0,0	231	75	1	1.0	NA,0.0	1.0,NA	-1.0
55	"ENSG00000227372.11"	"TP73-AS1"	chr1	-	3735983	3740387	3735983	3737854	3740232	3740387	55	674,824	7,12	1816,1951	0,2	2453	75	2.81304091132e-10	9.1417099855e-10	0.746,0.677	1.0,0.968	-0.272
59	"ENSG00000111674.8"	"ENO2"	chr12	+	6916670	6917107	6916670	6916729	6917037	6917107	59	21,12	51,85	28,23	6,7	383	75	3.10862446895e-15	1.45411690035e-14	0.075,0.027	0.477,0.392	-0.384
61	"ENSG00000142494.13"	"SLC47A1"	chr17	+	19555795	19556062	19555795	19555909	19555994	19556062	61	6,0	6,12	15,13	9,0	160	75	0.000913650346587	0.00164777300956	0.319,0.0	0.439,1.0	-0.56
62	"ENSG00000142002.16"	"DPP9"	chr19	-	4684662	4685771	4684662	4684809	4685625	4685771	62	14,29	49,53	73,207	3,28	891	75	1.18793863635e-14	5.35045040987e-14	0.023,0.044	0.672,0.384	-0.495
63	"ENSG00000130175.9"	"PRKCSH"	chr19	+	11436040	11436505	11436040	11436196	11436388	11436505	63	3,0	315,271	0,0	282,214	267	75	1	1.0	0.003,0.0	0.0,0.0	0.002
64	"ENSG00000130175.9"	"PRKCSH"	chr19	+	11448913	11449175	11448913	11448988	11449075	11449175	64	10,1	513,519	20,62	406,419	162	75	1.74638081774e-13	7.18003542015e-13	0.009,0.001	0.022,0.064	-0.038
66	"ENSG00000198089.15"	"SFI1"	chr22	+	31604868	31606430	31604868	31604945	31606327	31606430	66	4,10	13,17	216,270	32,14	1457	75	6.33937347061e-14	2.71481870192e-13	0.016,0.029	0.258,0.498	-0.355
67	"ENSG00000198089.15"	"SFI1"	chr22	+	31618114	31618547	31618114	31618226	31618313	31618547	67	32,12	14,27	81,38	62,42	162	75	0.806439873804	0.942419067942	0.514,0.171	0.377,0.295	0.007
68	"ENSG00000103363.14"	"ELOB"	chr16	-	2771413	2772102	2771413	2771604	2771993	2772102	68	463,496	6,1	317,409	16,10	464	75	3.39783169849e-05	7.36847793619e-05	0.926,0.988	0.762,0.869	0.142
69	"ENSG00000182004.12"	"SNRPE"	chr1	+	203861602	203862222	203861602	203861743	203862181	203862222	69	69,111	9,8	284,272	32,10	513	75	0.478639246735	0.598034908724	0.528,0.67	0.565,0.799	-0.083
71	"ENSG00000114416.17"	"FXR1"	chr3	+	180962882	180963090	180962882	180962940	180963027	180963090	71	97,120	167,204	104,87	103,86	162	75	0.00106464159029	0.00190792762038	0.212,0.214	0.319,0.319	-0.106
73	"ENSG00000178035.11"	"IMPDH2"	chr3	-	49024324	49024802	49024324	49024404	49024494	49024802	73	50,70	364,452	118,139	333,283	165	75	1.83947301835e-11	6.50713580241e-11	0.059,0.066	0.139,0.183	-0.099
74	"ENSG00000178035.11"	"IMPDH2"	chr3	-	49024494	49024802	49024494	49024578	49024658	49024802	74	50,62	675,934	150,244	521,337	155	75	0	0.0	0.035,0.031	0.122,0.259	-0.158
75	"ENSG00000178035.11"	"IMPDH2"	chr3	-	49026686	49027047	49026686	49026886	49026959	49027047	75	126,141	453,625	289,332	363,339	148	75	0	0.0	0.124,0.103	0.287,0.332	-0.196
76	"ENSG00000178035.11"	"IMPDH2"	chr3	-	49028430	49028806	49028430	49028532	49028757	49028806	76	84,166	523,503	326,290	353,306	300	75	0	0.0	0.039,0.076	0.188,0.192	-0.133
77	"ENSG00000167700.8"	"MFSD3"	chr8	+	144510597	144510903	144510597	144510722	144510793	144510903	77	34,19	86,36	70,81	64,11	146	75	0.000596614357889	0.00110414297514	0.169,0.213	0.36,0.791	-0.385
81	"ENSG00000103245.13"	"NARFL"	chr16	-	730842	732900	730842	731000	732300	732900	81	85,108	4,0	317,375	0,0	1375	75	0.00516219091326	0.00851423037466	0.537,1.0	1.0,1.0	-0.232
84	"ENSG00000101639.18"	"CEP192"	chr18	+	13057584	13059312	13057584	13057733	13059081	13059312	84	1,2	9,8	0,22	10,0	1423	75	0.0479636137548	0.0696682772931	0.006,0.013	0.0,1.0	-0.49
87	"ENSG00000118495.18"	"PLAGL1"	chr6	-	143964786	143966230	143964786	143964818	143966157	143966230	87	85,31	44,54	862,1039	8,25	1414	75	0	0.0	0.093,0.03	0.851,0.688	-0.708
89	"ENSG00000137411.16"	"VARS2"	chr6	+	30923352	30924560	30923352	30923505	30924353	30924560	89	30,35	19,29	291,405	97,33	923	75	0.000197218090812	0.000390071424809	0.114,0.089	0.196,0.499	-0.246
90	"ENSG00000161981.10"	"SNRNP25"	chr16	+	55776	56613	55776	55882	56538	56613	90	18,9	184,225	36,49	139,143	731	75	6.49464471092e-09	1.9162305333e-08	0.01,0.004	0.026,0.034	-0.023
91	"ENSG00000142186.16"	"SCYL1"	chr11	+	65538269	65538704	65538269	65538324	65538441	65538704	91	68,88	85,91	195,147	65,51	192	75	2.5863866604e-11	9.04569423143e-11	0.238,0.274	0.54,0.53	-0.279
92	"ENSG00000142186.16"	"SCYL1"	chr11	+	65538269	65538704	65538269	65538324	65538446	65538704	92	94,104	3,0	213,180	0,0	197	75	0.593481542709	0.7236852133	0.923,1.0	1.0,1.0	-0.038
93	"ENSG00000138738.10"	"PRDM5"	chr4	-	120816452	120816924	120816452	120816574	120816831	120816924	93	3,13	2,11	3,26	0,0	332	75	1.03818587061e-09	3.24648178323e-09	0.253,0.211	1.0,1.0	-0.768
101	"ENSG00000196576.14"	"PLXNB2"	chr22	-	50281359	50281742	50281359	50281499	50281565	50281742	101	7,4	52,39	8,21	48,53	141	75	0.0177890243753	0.027335532479	0.067,0.052	0.081,0.174	-0.068
102	"ENSG00000123136.14"	"DDX39A"	chr19	-	14409302	14409645	14409302	14409447	14409535	14409645	102	51,32	186,183	262,192	171,159	163	75	0	0.0	0.112,0.074	0.413,0.357	-0.292
103	"ENSG00000123136.14"	"DDX39A"	chr19	-	14409741	14410334	14409741	14409873	14410215	14410334	103	108,92	158,176	378,526	144,191	417	75	0	0.0	0.109,0.086	0.321,0.331	-0.229
104	"ENSG00000123136.14"	"DDX39A"	chr19	-	14409741	14410334	14409741	14409981	14410215	14410334	104	73,71	0,3	273,389	3,0	309	75	0.428851403586	0.543222441842	1.0,0.852	0.957,1.0	-0.052
105	"ENSG00000123136.14"	"DDX39A"	chr19	-	14412550	14413224	14412550	14412678	14413012	14413224	105	20,36	135,144	259,142	183,198	409	75	0	0.0	0.026,0.044	0.206,0.116	-0.126
111	"ENSG00000158270.11"	"COLEC12"	chr18	-	333006	335230	333006	333143	334741	335230	111	5,16	15,10	52,76	6,23	1673	75	6.38072158987e-06	1.46825398227e-05	0.015,0.067	0.28,0.129	-0.164
112	"ENSG00000013441.15"	"CLK1"	chr2	-	200856890	200857884	200856890	200856985	200857717	200857884	112	45,71	7,8	353,348	38,44	807	75	0.690819804719	0.825483482345	0.374,0.452	0.463,0.424	-0.03
113	"ENSG00000013441.15"	"CLK1"	chr2	-	200859679	200861466	200859679	200859746	200861237	200861466	113	75,34	13,16	1358,1978	22,6	1566	75	0	0.0	0.216,0.092	0.747,0.94	-0.689
115	"ENSG00000180891.12"	"CUEDC1"	chr17	-	57866473	57867415	57866473	57866544	57867356	57867415	115	45,24	56,77	292,275	20,0	887	75	7.21644966006e-15	3.32074025008e-14	0.064,0.026	0.552,1.0	-0.731
118	"ENSG00000095059.15"	"DHPS"	chr19	-	12679456	12679719	12679456	12679543	12679622	12679719	118	15,18	92,102	78,57	47,108	154	75	1.00593259911e-06	2.44885097246e-06	0.074,0.079	0.447,0.204	-0.249
119	"ENSG00000096080.11"	"MRPS18A"	chr6	-	43675201	43675617	43675201	43675271	43675493	43675617	119	31,36	104,128	12,3	45,52	297	75	0.0227801715156	0.0346291237542	0.07,0.066	0.063,0.014	0.03
121	"ENSG00000092199.17"	"HNRNPC"	chr14	-	21263310	21263829	21263310	21263336	21263666	21263829	121	185,223	13,6	302,264	0,37	405	75	0.570118395977	0.697953162487	0.725,0.873	1.0,0.569	0.014
122	"ENSG00000197530.12"	"MIB2"	chr1	+	1625545	1626754	1625545	1625653	1626649	1626754	122	28,31	17,18	326,226	14,10	1071	75	0	0.0	0.103,0.108	0.62,0.613	-0.511
123	"ENSG00000197530.12"	"MIB2"	chr1	+	1626836	1627207	1626836	1626999	1627073	1627207	123	0,0	34,14	5,12	46,49	149	75	7.75532021434e-05	0.000160006485103	0.0,0.0	0.052,0.11	-0.081
124	"ENSG00000197530.12"	"MIB2"	chr1	+	1628018	1628399	1628018	1628179	1628272	1628399	124	24,17	37,15	87,81	11,31	168	75	2.01625767383e-05	4.44335565239e-05	0.225,0.336	0.779,0.538	-0.378
125	"ENSG00000197530.12"	"MIB2"	chr1	+	1628272	1628722	1628272	1628399	1628488	1628722	125	6,0	12,10	13,37	25,16	164	75	0.00706931399906	0.0114484455607	0.186,0.0	0.192,0.514	-0.26
128	"ENSG00000241106.6"	"HLA-DOB"	chr6	-	32813722	32814601	32813722	32813833	32814319	32814601	128	0,4	0,0	15,32	6,0	561	75	1	1.0	NA,1.0	0.251,1.0	0.375
129	"ENSG00000165525.17"	"NEMF"	chr14	-	49784924	49785320	49784924	49785004	49785219	49785320	129	5,0	1,0	14,66	0,0	290	75	1	1.0	0.564,NA	1.0,1.0	-0.436
132	"ENSG00000137203.10"	"TFAP2A"	chr6	-	10409900	10410335	10409900	10410138	10410281	10410335	132	98,79	0,2	192,96	0,0	218	75	0.425398360655	0.539452140696	1.0,0.931	1.0,1.0	-0.034
133	"ENSG00000122435.9"	"TRMT13"	chr1	+	100140407	100141019	100140407	100140514	100140851	100141019	133	12,0	26,36	72,78	16,5	412	75	6.10622663544e-15	2.82516970762e-14	0.078,0.0	0.45,0.74	-0.556
134	"ENSG00000137221.14"	"TJAP1"	chr6	+	43500743	43501687	43500743	43500772	43501525	43501687	134	25,41	37,85	166,194	32,16	828	75	0	0.0	0.058,0.042	0.32,0.523	-0.371
135	"ENSG00000137221.14"	"TJAP1"	chr6	+	43502587	43503508	43502587	43502617	43503400	43503508	135	6,6	0,0	24,48	13,0	858	75	0.000646232416402	0.00119077877705	1.0,1.0	0.139,1.0	0.43
136	"ENSG00000137221.14"	"TJAP1"	chr6	+	43503622	43506553	43503622	43503706	43504760	43506553	136	73,52	66,55	400,280	66,57	1129	75	0	0.0	0.068,0.059	0.287,0.246	-0.203
138	"ENSG00000122952.16"	"ZWINT"	chr10	-	56357437	56358459	56357437	56358185	56358376	56358459	138	303,252	201,249	212,243	198,147	266	75	0.661878310655	0.796787927325	0.298,0.222	0.232,0.318	-0.015
139	"ENSG00000122952.16"	"ZWINT"	chr10	-	56359686	56360383	56359686	56359853	56360017	56360383	139	138,141	379,387	363,401	198,244	239	75	0	0.0	0.103,0.103	0.365,0.34	-0.25
140	"ENSG00000122952.16"	"ZWINT"	chr10	-	56360017	56360383	56360017	56360141	56360292	56360383	140	129,106	312,352	301,212	111,92	226	75	0	0.0	0.121,0.091	0.474,0.433	-0.348
142	"ENSG00000095066.11"	"HOOK2"	chr19	-	12774668	12774897	12774668	12774741	12774811	12774897	142	6,3	14,16	0,0	22,42	145	75	4.38232984626e-05	9.40138481232e-05	0.181,0.088	0.0,0.0	0.135
147	"ENSG00000137497.17"	"NUMA1"	chr11	-	72007188	72008845	72007188	72007435	72008687	72008845	147	142,182	110,91	1315,1507	61,68	1327	75	0	0.0	0.068,0.102	0.549,0.556	-0.468
148	"ENSG00000164620.8"	"RELL2"	chr5	+	141636949	141638409	141636949	141637741	141638169	141638409	148	16,17	2,5	83,149	2,0	503	75	3.42125220032e-06	8.01280860158e-06	0.544,0.336	0.861,1.0	-0.49
150	"ENSG00000170485.16"	"NPAS2"	chr2	+	100982230	100988276	100982230	100982377	100988078	100988276	150	58,74	3,2	104,129	7,0	5776	75	0.310576392247	0.402717612856	0.201,0.325	0.162,1.0	-0.318
151	"ENSG00000198105.13"	"ZNF248"	chr10	-	37828764	37833116	37828764	37831312	37833024	37833116	151	304,296	8,4	257,111	25,21	1787	75	1.54942784047e-07	4.06320999709e-07	0.615,0.756	0.301,0.182	0.444
153	"ENSG00000197043.13"	"ANXA6"	chr5	-	151138677	151139447	151138677	151138791	151139352	151139447	153	35,24	177,284	3,0	59,51	636	75	0.0457774472039	0.0666924970847	0.023,0.01	0.006,0.0	0.014
154	"ENSG00000156983.15"	"BRPF1"	chr3	+	9745572	9745930	9745572	9745709	9745811	9745930	154	23,33	54,81	53,136	78,50	177	75	0.00279141122533	0.00478769319254	0.153,0.147	0.224,0.535	-0.23
157	"ENSG00000149428.18"	"HYOU1"	chr11	-	119055492	119055843	119055492	119055571	119055749	119055843	157	3,10	150,196	1,40	62,27	253	75	8.22124688327e-06	1.87504059205e-05	0.006,0.015	0.005,0.305	-0.144
159	"ENSG00000143702.15"	"CEP170"	chr1	-	243185778	243186422	243185778	243186072	243186258	243186422	159	80,109	53,59	62,72	7,0	261	75	3.94025064798e-08	1.08789359354e-07	0.303,0.347	0.718,1.0	-0.534
162	"ENSG00000005961.17"	"ITGA2B"	chr17	-	44380599	44381061	44380599	44380645	44380878	44381061	162	10,2	6,5	3,11	0,0	308	75	7.75495778704e-10	2.45624969013e-09	0.289,0.089	1.0,1.0	-0.811
164	"ENSG00000005961.17"	"ITGA2B"	chr17	-	44384310	44384585	44384310	44384354	44384537	44384585	164	1,0	1,4	8,0	0,0	258	75	1	1.0	0.225,0.0	1.0,NA	-0.887
165	"ENSG00000107185.9"	"RGP1"	chr9	+	35750657	35750989	35750657	35750741	35750839	35750989	165	13,6	53,42	28,10	38,55	173	75	0.0496651313111	0.0719244289691	0.096,0.058	0.242,0.073	-0.081
166	"ENSG00000141504.11"	"SAT2"	chr17	-	7627142	7627414	7627142	7627226	7627362	7627414	166	55,47	87,109	96,83	46,35	211	75	7.81374964731e-13	3.06768714477e-12	0.183,0.133	0.426,0.457	-0.283
167	"ENSG00000141504.11"	"SAT2"	chr17	-	7627362	7627802	7627362	7627414	7627552	7627802	167	15,16	54,71	36,33	18,28	213	75	2.59059995678e-09	7.83408499842e-09	0.089,0.074	0.413,0.293	-0.271
168	"ENSG00000141504.11"	"SAT2"	chr17	-	7627362	7627805	7627362	7627414	7627569	7627805	168	47,51	27,19	50,60	12,6	230	75	0.00481475989737	0.00798384990794	0.362,0.467	0.576,0.765	-0.256
173	"ENSG00000036672.15"	"USP2"	chr11	-	119359023	119359342	119359023	119359134	119359230	119359342	173	3,0	18,25	0,0	0,18	171	75	1	1.0	0.068,0.0	NA,0.0	0.034
175	"ENSG00000082458.11"	"DLG3"	chrX	+	70500470	70500989	70500470	70500580	70500897	70500989	175	4,0	48,68	0,0	31,30	392	75	1	1.0	0.016,0.0	0.0,0.0	0.008
176	"ENSG00000123143.12"	"PKN1"	chr19	+	14467564	14467793	14467564	14467641	14467717	14467793	176	10,18	246,223	12,10	106,115	151	75	0.138197561353	0.189317837174	0.02,0.039	0.053,0.041	-0.018
177	"ENSG00000123143.12"	"PKN1"	chr19	+	14470574	14470851	14470574	14470682	14470770	14470851	177	17,11	262,387	18,46	92,107	163	75	1.33226762955e-14	5.97672505938e-14	0.029,0.013	0.083,0.165	-0.103
178	"ENSG00000117155.16"	"SSX2IP"	chr1	-	84662197	84662530	84662197	84662375	84662454	84662530	178	17,19	75,114	3,9	64,69	154	75	0.0177569310922	0.0272985685781	0.099,0.075	0.022,0.06	0.046
179	"ENSG00000117155.16"	"SSX2IP"	chr1	-	84669680	84670815	84669680	84669893	84670645	84670815	179	11,0	39,34	0,61	27,19	827	75	9.31417441855e-05	0.000191123482329	0.025,0.0	0.0,0.226	-0.101
181	"ENSG00000198830.10"	"HMGN2"	chr1	+	26473482	26473732	26473482	26473527	26473702	26473732	181	145,83	78,50	1306,1670	53,51	250	75	0	0.0	0.358,0.332	0.881,0.908	-0.55
182	"ENSG00000198830.10"	"HMGN2"	chr1	+	26473482	26473732	26473482	26473585	26473702	26473732	182	119,56	1,0	970,1336	0,0	192	75	1	1.0	0.979,1.0	1.0,1.0	-0.01
183	"ENSG00000198830.10"	"HMGN2"	chr1	+	26473482	26474135	26473482	26473527	26474084	26474135	183	420,274	2,0	3473,4343	0,0	632	75	0.526664489001	0.650856115228	0.961,1.0	1.0,1.0	-0.02
184	"ENSG00000198830.10"	"HMGN2"	chr1	+	26473482	26474135	26473482	26473732	26474084	26474135	184	313,203	7,4	2344,2961	3,12	427	75	6.0070678904e-05	0.000125693176561	0.887,0.899	0.993,0.977	-0.092
185	"ENSG00000198830.10"	"HMGN2"	chr1	+	26473702	26474135	26473702	26473817	26474084	26474135	185	251,175	1,10	1903,2488	5,10	342	75	0.000155187379299	0.000310924094454	0.982,0.793	0.988,0.982	-0.098
186	"ENSG00000112146.16"	"FBXO9"	chr6	+	53092733	53093561	53092733	53092824	53093465	53093561	186	92,62	100,119	374,526	101,49	716	75	6.06104055834e-12	2.24954029903e-11	0.088,0.052	0.279,0.529	-0.334
191	"ENSG00000108592.16"	"FTSJ3"	chr17	-	63820838	63821115	63820838	63820938	63821029	63821115	191	19,25	162,163	15,35	163,100	166	75	0.168533273011	0.228296368227	0.05,0.065	0.04,0.137	-0.031
193	"ENSG00000108592.16"	"FTSJ3"	chr17	-	63826257	63826672	63826257	63826304	63826566	63826672	193	11,6	87,77	63,54	68,51	337	75	0	0.0	0.027,0.017	0.171,0.191	-0.159
194	"ENSG00000137500.9"	"CCDC90B"	chr11	-	83273792	83273992	83273792	83273864	83273950	83273992	194	2,0	39,50	8,0	28,59	161	75	0.0348190620036	0.0515455686854	0.023,0.0	0.117,0.0	-0.047
195	"ENSG00000137500.9"	"CCDC90B"	chr11	-	83273950	83274740	83273950	83273992	83274638	83274740	195	4,2	35,77	4,6	32,24	721	75	0.432647813373	0.547418768336	0.012,0.003	0.013,0.025	-0.011
198	"ENSG00000085978.21"	"ATG16L1"	chr2	+	233272965	233273777	233272965	233273052	233273720	233273777	198	2,0	8,6	45,62	0,2	743	75	0	0.0	0.025,0.0	1.0,0.758	-0.867
199	"ENSG00000085978.21"	"ATG16L1"	chr2	+	233289853	233290353	233289853	233289974	233290247	233290353	199	6,6	28,26	95,116	0,0	348	75	0	0.0	0.044,0.047	1.0,1.0	-0.955
200	"ENSG00000079134.11"	"THOC1"	chr18	-	224923	225403	224923	224994	225088	225403	200	6,0	45,72	9,8	39,80	169	75	0.0165158296749	0.0255408732131	0.056,0.0	0.093,0.042	-0.04
201	"ENSG00000079134.11"	"THOC1"	chr18	-	225088	225403	225088	225139	225336	225403	201	12,24	23,33	127,98	40,32	272	75	1.20919851909e-09	3.76392132982e-09	0.126,0.167	0.467,0.458	-0.316
203	"ENSG00000177380.13"	"PPFIA3"	chr19	+	49150079	49151021	49150079	49150151	49150235	49151021	203	23,33	37,47	71,55	10,42	159	75	0.00291835227812	0.00498778275616	0.227,0.249	0.77,0.382	-0.338
206	"ENSG00000099953.9"	"MMP11"	chr22	+	23779186	23780502	23779186	23779416	23780358	23780502	206	1,0	3,5	26,5	0,3	1017	75	0.000536878021355	0.00100122886355	0.024,0.0	1.0,0.109	-0.542
207	"ENSG00000102977.13"	"ACD"	chr16	-	67658927	67659613	67658927	67659079	67659536	67659613	207	28,42	0,5	123,116	0,0	532	75	0.000826082627011	0.00150020139109	1.0,0.542	1.0,1.0	-0.229
208	"ENSG00000115661.13"	"STK16"	chr2	+	219245895	219246876	219245895	219246085	219246656	219246876	208	95,81	37,44	102,237	18,8	646	75	0.00031182746312	0.000602027325046	0.23,0.176	0.397,0.775	-0.383
212	"ENSG00000213619.9"	"NDUFS3"	chr11	+	47580524	47580984	47580524	47580622	47580834	47580984	212	46,61	185,127	188,81	121,155	287	75	6.54459762527e-05	0.000136185377055	0.061,0.112	0.289,0.12	-0.118
213	"ENSG00000146063.19"	"TRIM41"	chr5	+	181233412	181233763	181233412	181233435	181233635	181233763	213	45,52	42,54	365,351	34,51	275	75	0	0.0	0.226,0.208	0.745,0.652	-0.482
214	"ENSG00000182979.17"	"MTA1"	chr14	+	105450057	105450324	105450057	105450184	105450260	105450324	214	34,23	167,223	334,372	212,105	151	75	0	0.0	0.092,0.049	0.439,0.638	-0.468
215	"ENSG00000182979.17"	"MTA1"	chr14	+	105464462	105464863	105464462	105464567	105464673	105464863	215	6,0	127,153	77,60	168,216	181	75	0	0.0	0.019,0.0	0.16,0.103	-0.122
216	"ENSG00000182979.17"	"MTA1"	chr14	+	105469466	105469992	105469466	105469498	105469840	105469992	216	21,10	111,144	304,269	298,211	417	75	0	0.0	0.033,0.012	0.155,0.187	-0.148
219	"ENSG00000130714.15"	"POMT1"	chr9	+	131509902	131510415	131509902	131509996	131510259	131510415	219	27,29	24,19	319,326	20,21	338	75	0	0.0	0.2,0.253	0.78,0.775	-0.551
220	"ENSG00000130714.15"	"POMT1"	chr9	+	131509902	131510415	131509902	131510062	131510259	131510415	220	18,23	3,1	245,267	0,0	272	75	0.00354644055539	0.00596518678856	0.623,0.864	1.0,1.0	-0.256
221	"ENSG00000001631.15"	"KRIT1"	chr7	-	92235402	92236542	92235402	92235646	92236412	92236542	221	6,1	37,48	68,136	18,34	841	75	0	0.0	0.014,0.002	0.252,0.263	-0.249
